task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	88/5fe588	55487	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:TABIX_TABIX (NDT0001_03)	COMPLETED	0	2026-01-15 08:34:10.417	33.1s	5.8s	93.0%	17.2 MB	218.6 MB	412 MB	1.6 MB
2	4f/8a7f97	55492	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:TABIX_TABIX (NDT0001_02)	COMPLETED	0	2026-01-15 08:34:10.851	32.7s	5.8s	93.2%	17.6 MB	218.6 MB	419.5 MB	1.6 MB
6	58/fedfa3	55489	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:TABIX_TABIX (NDT0002_03)	COMPLETED	0	2026-01-15 08:34:10.605	32.9s	6.1s	89.5%	17.2 MB	218.6 MB	425.7 MB	1.7 MB
1	43/79c611	55490	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:TABIX_TABIX (NDT0001_01)	COMPLETED	0	2026-01-15 08:34:10.691	32.9s	5.7s	93.0%	17.6 MB	218.6 MB	407.4 MB	1.6 MB
4	18/685247	55491	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:TABIX_TABIX (NDT0002_01)	COMPLETED	0	2026-01-15 08:34:10.773	32.8s	6.1s	92.8%	21.8 MB	218.6 MB	436.9 MB	1.7 MB
5	60/48f22c	55488	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:TABIX_TABIX (NDT0002_02)	COMPLETED	0	2026-01-15 08:34:10.526	33s	6.2s	89.4%	17.2 MB	218.6 MB	428.8 MB	1.6 MB
12	e1/13d860	55493	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:BCFTOOLS_VIEW_AUTOSOMES (NDT0002_02)	COMPLETED	0	2026-01-15 08:34:43.928	1m 5s	46.4s	92.4%	50.6 MB	427.4 MB	418.8 MB	217.6 MB
10	85/28bba3	55494	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:BCFTOOLS_VIEW_AUTOSOMES (NDT0001_01)	COMPLETED	0	2026-01-15 08:34:44.045	1m 9s	45.5s	92.3%	49.6 MB	427.5 MB	405.4 MB	210.9 MB
11	a7/2c861b	55495	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:BCFTOOLS_VIEW_AUTOSOMES (NDT0002_03)	COMPLETED	0	2026-01-15 08:34:44.124	1m 9s	48.2s	91.6%	52.6 MB	427.6 MB	423 MB	220.4 MB
8	7f/5acf1e	55496	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:BCFTOOLS_VIEW_AUTOSOMES (NDT0001_02)	COMPLETED	0	2026-01-15 08:34:44.201	1m 9s	46.1s	92.0%	49.1 MB	427.4 MB	411 MB	214.2 MB
7	d5/5ee907	55497	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:BCFTOOLS_VIEW_AUTOSOMES (NDT0001_03)	COMPLETED	0	2026-01-15 08:34:44.282	1m 9s	47s	90.4%	49.2 MB	427.5 MB	409 MB	213.4 MB
9	36/4c57d6	55498	NFCORE_UPDHMM:UPDHMM:REMOVE_ANNOTATIONS:BCFTOOLS_VIEW_AUTOSOMES (NDT0002_01)	COMPLETED	0	2026-01-15 08:34:44.357	1m 9s	47.5s	92.3%	50.2 MB	427.4 MB	426.5 MB	222.3 MB
